product_id,brand,product_name,category,original_price,stock,customer_type,negotiation_round,festival_sale,minimum_acceptable_price
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,4,Premium,2,0,85228
P003,Apple,MacBook Air M4,Laptop,110000,95,New,3,0,99104
P007,Dell,Dell XPS 13,Laptop,120000,5,New,1,0,113738
P009,Apple,iPad Air M3,Tablet,65000,78,New,3,0,59383
P009,Apple,iPad Air M3,Tablet,65000,54,New,2,1,58828
P001,Apple,iPhone 16,Smartphone,80000,98,New,3,1,71048
P005,Sony,Sony WH-1000XM6,Headphones,32000,20,New,2,0,26474
P007,Dell,Dell XPS 13,Laptop,120000,13,Returning,2,1,109526
P001,Apple,iPhone 16,Smartphone,80000,94,Returning,3,0,72496
P007,Dell,Dell XPS 13,Laptop,120000,11,Premium,2,1,108091
P004,Sony,PlayStation 5,Gaming Console,55000,91,New,1,0,50341
P005,Sony,Sony WH-1000XM6,Headphones,32000,11,New,1,1,27304
P008,Canon,Canon EOS R50,Camera,75000,82,Returning,1,1,63613
P004,Sony,PlayStation 5,Gaming Console,55000,86,Returning,3,0,48523
P003,Apple,MacBook Air M4,Laptop,110000,69,Premium,1,0,101173
P007,Dell,Dell XPS 13,Laptop,120000,35,Premium,3,0,105801
P006,Apple,Apple Watch Series 10,Smartwatch,50000,99,New,1,0,45324
P006,Apple,Apple Watch Series 10,Smartwatch,50000,52,Returning,1,0,45935
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,92,Returning,1,1,132705
P008,Canon,Canon EOS R50,Camera,75000,19,Returning,1,0,69262
P009,Apple,iPad Air M3,Tablet,65000,69,Returning,3,1,57619
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,52,Returning,1,0,139221
P008,Canon,Canon EOS R50,Camera,75000,12,New,1,0,69892
P003,Apple,MacBook Air M4,Laptop,110000,88,Returning,3,0,97794
P007,Dell,Dell XPS 13,Laptop,120000,77,Returning,3,1,104894
P009,Apple,iPad Air M3,Tablet,65000,2,Premium,3,0,59998
P009,Apple,iPad Air M3,Tablet,65000,97,Returning,3,1,55514
P005,Sony,Sony WH-1000XM6,Headphones,32000,56,New,2,0,27356
P005,Sony,Sony WH-1000XM6,Headphones,32000,65,New,3,0,26951
P005,Sony,Sony WH-1000XM6,Headphones,32000,82,Premium,3,0,24936
P006,Apple,Apple Watch Series 10,Smartwatch,50000,98,New,3,0,44113
P006,Apple,Apple Watch Series 10,Smartwatch,50000,63,New,1,1,45399
P005,Sony,Sony WH-1000XM6,Headphones,32000,31,New,1,0,26787
P008,Canon,Canon EOS R50,Camera,75000,9,Premium,1,0,68425
P008,Canon,Canon EOS R50,Camera,75000,71,New,2,1,65737
P004,Sony,PlayStation 5,Gaming Console,55000,70,Premium,3,0,49180
P005,Sony,Sony WH-1000XM6,Headphones,32000,52,Premium,3,1,25228
P009,Apple,iPad Air M3,Tablet,65000,58,New,1,0,60015
P006,Apple,Apple Watch Series 10,Smartwatch,50000,3,Premium,3,0,45602
P004,Sony,PlayStation 5,Gaming Console,55000,1,New,3,0,51434
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,5,Returning,1,0,87185
P008,Canon,Canon EOS R50,Camera,75000,28,Premium,1,1,64248
